x - user1,y - user1,x - user2,y - user2,x - user3,y - user3,x - user4,y - user4,x - user5,y - user5,x - user6,y - user6,x - user7,y - user7,x - user8,y - user8,x - user9,y - user9,x - user10,y - user10,x - user11,y - user11,x - user12,y - user12,x - user13,y - user13,x - user14,y - user14,x - user15,y - user15,x - user16,y - user16,x - user17,y - user17,x - user18,y - user18,x - user19,y - user19,x - user20,y - user20
1.347345555481103796e+00,3.603330290272367398e-01,2.184279808289598002e+00,1.036244205532210793e-03,1.650112827599999887e+00,8.358682692000000136e-01,1.653841053599999888e+00,3.171229035600000024e-01,4.223629451722915040e-01,1.549283163330803070e+00,2.248603368751719067e+00,7.723685413963871094e-01,4.424624663007208913e-01,1.587774430894662636e+00,1.499306085900000030e+00,9.387051697000000638e-01,1.940665907199999873e+00,1.157117076200000039e+00,1.922024777199999868e+00,1.157738447200000076e+00,1.897667034000000141e+00,1.210306433800000026e+00,5.209636601099999487e-01,1.526770684099999942e+00,6.773187885477177650e-01,1.398935594526273363e+00,2.445964804399999859e-01,9.260292012999999933e-01,1.318611399099999915e+00,5.296752815299999861e-01,2.017442433640689980e+00,1.495333079381953034e+00,5.654227551600000436e-03,4.327414055299999562e-01,1.806451132647877378e+00,1.584469947273513979e+00,5.925676224730610508e-01,1.552342160675885818e+00,4.863340782981107058e-01,1.333494948189482887e+00
1.879310429078083100e+00,9.619371072591290650e-01,2.399999999999999911e+00,1.997944011319614521e-01,1.557031451800000132e+00,8.074716145000000456e-01,1.706471177300000086e+00,2.532397510500000171e-01,2.629789488724537661e-01,1.464848417408779024e+00,2.285176387402855447e+00,8.124820781972421635e-01,5.952673376682622308e-01,1.699999999999999956e+00,1.629359036199999888e+00,8.960791190999999323e-01,1.812539206999999930e+00,9.469694040000000701e-01,1.922024777199999868e+00,1.157738447200000076e+00,1.876043323200000001e+00,1.261569541300000097e+00,7.037647945999999655e-01,1.204527683500000057e+00,4.112486432266668768e-01,1.445404839467351543e+00,2.930882732800000334e-01,8.792399650000000122e-01,1.165194899200000078e+00,8.082793967999999385e-01,2.254143080368645524e+00,1.699999999999999956e+00,1.761462510800000103e-01,3.601901275699999627e-01,1.899175475268999325e+00,1.699999999999999956e+00,7.758616525882633397e-01,1.460538645535835789e+00,1.501643254147660977e-02,4.142018613949538519e-01
1.334185876229257328e+00,0.000000000000000000e+00,2.242089678169507216e+00,6.043964456036057808e-02,1.485387375499999996e+00,7.669582253000000183e-01,1.684536781000000039e+00,2.736890706599999779e-01,3.171837356082276016e-01,9.607110713918809441e-01,1.641804220009350779e+00,2.555339268078293813e-01,1.066894570390213293e+00,1.699999999999999956e+00,1.650112827599999887e+00,8.358682692000000136e-01,1.792406786599999968e+00,9.231708947000000220e-01,1.812539206999999930e+00,9.469694040000000701e-01,1.903321510100000058e+00,1.425300799800000240e+00,7.394936270999999950e-01,1.441580719999999927e+00,1.267224197624052362e+00,1.299292491183654308e+00,1.991121232399999941e-01,9.648648887999999868e-01,1.253491718300000057e+00,9.307516209000000762e-01,2.399999999999999911e+00,1.699999999999999956e+00,2.422414843500000081e-01,3.185209883100000305e-01,2.311681722708689435e+00,1.507216691024272803e+00,1.502452729055258729e+00,1.699999999999999956e+00,0.000000000000000000e+00,8.573267429057933597e-01
1.465842430788899087e+00,0.000000000000000000e+00,1.137789520427729517e+00,0.000000000000000000e+00,1.526025038900000075e+00,7.139552789999999982e-01,1.612209196600000061e+00,4.043385371200000078e-01,3.125931691020213399e-01,9.415620213989297493e-01,1.456885209536210368e+00,4.227364248941767322e-02,1.100581432253749936e+00,1.699999999999999956e+00,1.654648835900000003e+00,8.946499658000000021e-01,1.735986299800000188e+00,1.036136142499999968e+00,1.699076862400000110e+00,9.767330749000000534e-01,1.887725097999999990e+00,1.582694074099999959e+00,7.320993122000000186e-01,1.516704473900000183e+00,1.243282377726824262e+00,1.424806856024843027e+00,3.197513028900000331e-01,9.455402507000000289e-01,1.203222804400000179e+00,8.613444802000000955e-01,2.399999999999999911e+00,1.699999999999999956e+00,2.855386156299999922e-01,2.468272023300000229e-01,2.399999999999999911e+00,1.699999999999999956e+00,1.372322227214581636e+00,1.681336414418804104e+00,2.072594950716586948e-01,1.092098431207525699e+00
9.988718230385768004e-01,7.836068373927758124e-01,1.520309959913251241e+00,0.000000000000000000e+00,1.374286240699999828e+00,6.434918075999999099e-01,1.653903190699999914e+00,3.508260666000000416e-01,5.065703328490441804e-01,1.699999999999999956e+00,1.155038385378983623e+00,0.000000000000000000e+00,9.985305644302845396e-01,1.699999999999999956e+00,1.791599004300000075e+00,8.867585540999999294e-01,1.643277746599999922e+00,1.097216911799999917e+00,1.654648835900000003e+00,8.946499658000000021e-01,1.748600131099999899e+00,1.537893224999999919e+00,5.747992435500000052e-01,1.831180336999999936e+00,1.462183318301517598e-01,1.505896822983674443e+00,3.912462501499999745e-01,9.159008539999999865e-01,1.282385469800000122e+00,8.037433885000000444e-01,2.399999999999999911e+00,1.540447761359766909e+00,2.800954056700000194e-01,1.067204692500000052e-01,2.007657981790292201e+00,1.699999999999999956e+00,3.232229940731501383e-01,3.617199669681077090e-01,0.000000000000000000e+00,5.118139925167031201e-02
0.000000000000000000e+00,1.416706428881073787e+00,1.628317986074744983e+00,2.485382331007704171e-01,1.324079463899999975e+00,4.689611211200000462e-01,1.809556626200000018e+00,4.219792598100000069e-01,1.060408792830444424e+00,1.644036739031841332e+00,1.974048505987871405e+00,1.501566783213444722e+00,9.358317808560763229e-01,1.605875326889558918e+00,1.754938115300000101e+00,9.726320263000000077e-01,1.796818520699999810e+00,1.152953890500000078e+00,1.621591898699999978e+00,8.017550012999999920e-01,1.692241781400000145e+00,1.396717733800000083e+00,6.666689459000000317e-01,1.652287626099999907e+00,2.138086940845880690e+00,1.699999999999999956e+00,4.665004919599999855e-01,8.892440380999999672e-01,1.282385469800000122e+00,8.037433885000000444e-01,2.391871277754123337e+00,1.699999999999999956e+00,3.588479662099999801e-01,1.904812800500000070e-01,2.399999999999999911e+00,1.444729753269461181e+00,3.513409887231331852e-01,4.206737583508920464e-01,1.503789549191826384e-02,4.612006304357106623e-02
5.262927571109893288e-02,1.090757922283595915e+00,2.270086260378035625e+00,0.000000000000000000e+00,1.326005714000000113e+00,4.532652896600000147e-01,1.893317437000000103e+00,5.254748135700000322e-01,0.000000000000000000e+00,1.434550288889059555e+00,1.835383041306162255e+00,5.399770366955229939e-01,1.441670980677352443e+00,1.366526109189783789e+00,1.742324283999999945e+00,1.098273242499999913e+00,1.793276706000000109e+00,1.093488685799999915e+00,1.629359036199999888e+00,8.960791190999999323e-01,1.769105374100000017e+00,1.468610358500000102e+00,5.094682966100000376e-01,1.621716172900000030e+00,7.612424496039018607e-01,1.493096315968798438e+00,6.554842679000000283e-01,9.107434747000000552e-01,1.374286240699999828e+00,6.434918075999999099e-01,2.231408787899714863e+00,1.606955501225532323e+00,5.121277644900000814e-01,1.608108148000000071e-01,0.000000000000000000e+00,1.489873742153187353e+00,5.516811445901796951e-01,3.954219945708067341e-01,5.484661974613518412e-03,9.857533512119557306e-01
0.000000000000000000e+00,1.520927974410547501e-01,2.377403694619530050e+00,4.175483998016210063e-01,1.374286240699999828e+00,6.434918075999999099e-01,1.986088127300000172e+00,5.945774824799999747e-01,1.386101947481749752e+00,6.690709074428498049e-01,1.750142096559927030e+00,4.596068177176294012e-01,8.553478704571858549e-01,1.699999999999999956e+00,1.841246547199999917e+00,1.137357478400000010e+00,1.858334249699999940e+00,1.117349332200000100e+00,1.636815488199999891e+00,1.014015334900000065e+00,1.868959693800000155e+00,1.581886291800000066e+00,3.142956655099999885e-01,1.483523262500000106e+00,6.889979594196412593e-01,1.684636387898297061e+00,7.091085852000000855e-01,8.959548449000001025e-01,1.286300107099999979e+00,5.307067573900000612e-01,1.808719666565710149e+00,0.000000000000000000e+00,4.271304254000000133e-01,6.213710000000000456e-09,3.366666649938559464e-01,1.555413646200710653e+00,7.153819672634778026e-01,5.612362967465351904e-01,0.000000000000000000e+00,2.114902772652725860e-01
0.000000000000000000e+00,9.664461690087488011e-01,2.399999999999999911e+00,1.699999999999999956e+00,1.217762885800000028e+00,7.132096338000000202e-01,1.986088127300000172e+00,5.945774824799999747e-01,1.433254321246907104e+00,6.506886794687982700e-01,8.731620141747837849e-01,0.000000000000000000e+00,1.237563549871298019e+00,1.516935486644965358e+00,1.735986299800000188e+00,1.036136142499999968e+00,1.651541980900000040e+00,1.203968449600000046e+00,1.682859079300000227e+00,1.134374897599999876e+00,1.903321510100000058e+00,1.384663136400000161e+00,4.471820675700000081e-01,1.406535395599999960e+00,4.599205024427857058e-01,1.699999999999999956e+00,7.012793105999999277e-01,7.647212897000000842e-01,1.092743040600000048e+00,4.616475844500000369e-01,1.796142060631992443e+00,0.000000000000000000e+00,4.545018179500000532e-01,1.111694856099999934e-01,4.215556743368975567e-01,1.155833694435436154e+00,3.245980474679455163e-02,0.000000000000000000e+00,1.179043289867032218e+00,0.000000000000000000e+00
0.000000000000000000e+00,7.494485930579470878e-01,2.147645620136320321e+00,1.420952080948368668e+00,1.279713574500000117e+00,6.920830197999999767e-01,1.932401672900000200e+00,5.852817723200000044e-01,2.020454486984516240e+00,0.000000000000000000e+00,1.069573404627061741e+00,0.000000000000000000e+00,2.399999999999999911e+00,1.539485851192208044e+00,1.499306085900000030e+00,9.387051697000000638e-01,1.616434519400000047e+00,1.154693729299999916e+00,1.796818520699999810e+00,1.152953890500000078e+00,1.963035263199999880e+00,1.484020359300000091e+00,2.438756900800000127e-01,1.651479843800000236e+00,4.889344129493707336e-01,1.699999999999999956e+00,7.163786259000001211e-01,5.791488405499999326e-01,8.725291582000000989e-01,3.955212826299999707e-01,1.931734800167560717e+00,0.000000000000000000e+00,5.121277644900000814e-01,1.608108148000000071e-01,4.746943330554909690e-01,7.977171435037100355e-01,5.081112098318190107e-01,1.732358787303020786e-01,0.000000000000000000e+00,9.077595681743798606e-01
